seminar_id,region,Seminars
3a5d4e99860269a94985aa21a2a779b0,Midwest,1
3a5d4e99860269a94985aa21a2a779b0,West,1
3a8e76cb8068337332543cf7cd46ce8a,Midwest,1
3a8e76cb8068337332543cf7cd46ce8a,South,1
3ab526983fd599d63b4ae98127760f12,South,1
3ad5f9221ef5c56d1a347ce61a55c787,Northeast,1
3b35eb12e05c6548417a460ef44dda9d,Northeast,2
3b35eb12e05c6548417a460ef44dda9d,South,1
3b35eb12e05c6548417a460ef44dda9d,West,1
3c790b5ca3880b6c4d035944e946c5da,Northeast,1
3ce1f1aab2cd79c75d284518503b2f23,South,1
3cf2abf3b0fa3957788849ad494394da,South,1
3d3d1108509875dd981c1fd8f5937da5,Northeast,2
3d3d1108509875dd981c1fd8f5937da5,South,1
3d3d1108509875dd981c1fd8f5937da5,West,1
3d3d1108509875dd981c1fd8f5937da5,NA,1
3d6bdb06d89b5b74aeb0886298caf3c9,Northeast,1
3ddfe552c26f2a72be168219faf458da,West,1
3e6418f76a9da5511e109a947fa0be6d,Northeast,1
3e6418f76a9da5511e109a947fa0be6d,West,1
3e86ae1e80ba233e4ae38a5fb1e9d7bf,Midwest,1
3e86ae1e80ba233e4ae38a5fb1e9d7bf,South,1
3e86ae1e80ba233e4ae38a5fb1e9d7bf,West,1
3e86ae1e80ba233e4ae38a5fb1e9d7bf,NA,1
3ecf72efab06c8d1a3681de788195d3a,West,1
3ef68e756941e256626eb36832d34455,South,1
3efe0991994b080989e990d412efd318,Northeast,2
3f059fda61dbebc53c918fd18656d420,Northeast,2
3f059fda61dbebc53c918fd18656d420,West,3
3f90d0b677769f58cdc95a2095bd01f8,Northeast,2
4010b03c6ff83908b44d3086a19fe527,Northeast,1
40bc03a0b58c8ad6271bb64fa915b197,Northeast,1
411f9fa0e1cb0aefa829f70b8a9a1147,West,1
426352d51951c79126b7907c5b604647,NA,1
42ac8ca562e104f7fee46ba2bd57b283,Northeast,2
42ac8ca562e104f7fee46ba2bd57b283,West,2
42e96e77589c1a12af9425bcbbfb1a92,South,1
432671b7c7214f85dd233e7d1f8b2fbf,Northeast,1
432671b7c7214f85dd233e7d1f8b2fbf,South,1
440b311f7166472ba65bd221b7004500,Northeast,2
442c827e9e4a1c48cc3c701342394c4d,South,1
4499618ba3def2c05e734cac75779872,South,1
44eeac10aa725637ef0bd82c3b95a856,Northeast,1
450d135c78c9dac3cdae7456d1923d48,Northeast,1
450d135c78c9dac3cdae7456d1923d48,South,1
4576f16fdaed4dd13312a2724157b274,Northeast,3
457c5feb897f676b70f8e940c4f7b7ec,South,1
45c81b42087a5eeaa0831bc37ea9c78d,Northeast,1
4651a215dd019c69454a4b0d38f2e5a3,Northeast,1
46db556c40e4f87e320131110127598d,Midwest,1
46db556c40e4f87e320131110127598d,South,1
47555cabd7f8a5ee6307d1f243f7269b,South,1
